Order Date,Month,Year,Quarter,Day_of_week
01-01-2019,1,2019,Q1,Tuesday
02-01-2019,1,2019,Q1,Wednesday
03-01-2019,1,2019,Q1,Thursday
04-01-2019,1,2019,Q1,Friday
05-01-2019,1,2019,Q1,Saturday
06-01-2019,1,2019,Q1,Sunday
07-01-2019,1,2019,Q1,Monday
08-01-2019,1,2019,Q1,Tuesday
09-01-2019,1,2019,Q1,Wednesday
10-01-2019,1,2019,Q1,Thursday
11-01-2019,1,2019,Q1,Friday
12-01-2019,1,2019,Q1,Saturday
13-01-2019,1,2019,Q1,Sunday
14-01-2019,1,2019,Q1,Monday
15-01-2019,1,2019,Q1,Tuesday
16-01-2019,1,2019,Q1,Wednesday
17-01-2019,1,2019,Q1,Thursday
18-01-2019,1,2019,Q1,Friday
19-01-2019,1,2019,Q1,Saturday
20-01-2019,1,2019,Q1,Sunday
21-01-2019,1,2019,Q1,Monday
22-01-2019,1,2019,Q1,Tuesday
23-01-2019,1,2019,Q1,Wednesday
24-01-2019,1,2019,Q1,Thursday
25-01-2019,1,2019,Q1,Friday
26-01-2019,1,2019,Q1,Saturday
27-01-2019,1,2019,Q1,Sunday
28-01-2019,1,2019,Q1,Monday
29-01-2019,1,2019,Q1,Tuesday
30-01-2019,1,2019,Q1,Wednesday
31-01-2019,1,2019,Q1,Thursday
01-02-2019,2,2019,Q1,Friday
02-02-2019,2,2019,Q1,Saturday
03-02-2019,2,2019,Q1,Sunday
04-02-2019,2,2019,Q1,Monday
05-02-2019,2,2019,Q1,Tuesday
06-02-2019,2,2019,Q1,Wednesday
07-02-2019,2,2019,Q1,Thursday
08-02-2019,2,2019,Q1,Friday
09-02-2019,2,2019,Q1,Saturday
10-02-2019,2,2019,Q1,Sunday
11-02-2019,2,2019,Q1,Monday
12-02-2019,2,2019,Q1,Tuesday
13-02-2019,2,2019,Q1,Wednesday
14-02-2019,2,2019,Q1,Thursday
15-02-2019,2,2019,Q1,Friday
16-02-2019,2,2019,Q1,Saturday
17-02-2019,2,2019,Q1,Sunday
18-02-2019,2,2019,Q1,Monday
19-02-2019,2,2019,Q1,Tuesday
20-02-2019,2,2019,Q1,Wednesday
21-02-2019,2,2019,Q1,Thursday
22-02-2019,2,2019,Q1,Friday
23-02-2019,2,2019,Q1,Saturday
24-02-2019,2,2019,Q1,Sunday
25-02-2019,2,2019,Q1,Monday
26-02-2019,2,2019,Q1,Tuesday
27-02-2019,2,2019,Q1,Wednesday
28-02-2019,2,2019,Q1,Thursday
01-03-2019,3,2019,Q1,Friday
02-03-2019,3,2019,Q1,Saturday
03-03-2019,3,2019,Q1,Sunday
04-03-2019,3,2019,Q1,Monday
05-03-2019,3,2019,Q1,Tuesday
06-03-2019,3,2019,Q1,Wednesday
07-03-2019,3,2019,Q1,Thursday
08-03-2019,3,2019,Q1,Friday
09-03-2019,3,2019,Q1,Saturday
10-03-2019,3,2019,Q1,Sunday
11-03-2019,3,2019,Q1,Monday
12-03-2019,3,2019,Q1,Tuesday
13-03-2019,3,2019,Q1,Wednesday
14-03-2019,3,2019,Q1,Thursday
15-03-2019,3,2019,Q1,Friday
16-03-2019,3,2019,Q1,Saturday
17-03-2019,3,2019,Q1,Sunday
18-03-2019,3,2019,Q1,Monday
19-03-2019,3,2019,Q1,Tuesday
20-03-2019,3,2019,Q1,Wednesday
21-03-2019,3,2019,Q1,Thursday
22-03-2019,3,2019,Q1,Friday
23-03-2019,3,2019,Q1,Saturday
24-03-2019,3,2019,Q1,Sunday
25-03-2019,3,2019,Q1,Monday
26-03-2019,3,2019,Q1,Tuesday
27-03-2019,3,2019,Q1,Wednesday
28-03-2019,3,2019,Q1,Thursday
29-03-2019,3,2019,Q1,Friday
30-03-2019,3,2019,Q1,Saturday
31-03-2019,3,2019,Q1,Sunday
01-04-2019,4,2019,Q2,Monday
