Product ID,Category ,Sub-Category
PROD000001,Fast Food,Burgers
PROD000002,Fast Food,Pizzas
PROD000003,Electric Appliances,Fans
PROD000004,Dairy Products,Milk
PROD000005,Sessional Fruits & Vegetables,Tomatoes
PROD000006,Dairy Products,Milk
PROD000007,Dairy Products,Yogurt
PROD000008,Electric Appliances,Washing Machines
PROD000009,Dairy Products,Milk
PROD000010,Furniture,Beds
PROD000011,Fast Food,Pizzas
PROD000012,Sessional Fruits & Vegetables,Mangoes
PROD000013,Furniture,Chairs
PROD000014,Dairy Products,Milk
PROD000015,Dairy Products,Milk
PROD000016,Fast Food,Fries
PROD000017,Electric Appliances,Washing Machines
PROD000018,Household Items,Mops
PROD000019,Household Items,Buckets
PROD000020,Household Items,Utensils
PROD000021,Household Items,Detergents
PROD000022,Dairy Products,Cheese
PROD000023,Household Items,Detergents
PROD000024,Fast Food,Pizzas
PROD000025,Sessional Fruits & Vegetables,Carrots
PROD000026,Electric Appliances,Washing Machines
PROD000027,Electric Appliances,Fans
PROD000028,Household Items,Mops
PROD000029,Household Items,Detergents
PROD000030,Household Items,Utensils
PROD000031,Sessional Fruits & Vegetables,Apples
PROD000032,Fast Food,Burgers
PROD000033,Furniture,Tables
PROD000034,Electric Appliances,Washing Machines
PROD000035,Household Items,Buckets
PROD000036,Dairy Products,Yogurt
PROD000037,Furniture,Chairs
PROD000038,Household Items,Buckets
PROD000039,Electric Appliances,Fans
PROD000040,Household Items,Mops
PROD000041,Furniture,Chairs
PROD000042,Dairy Products,Cheese
PROD000043,Fast Food,Sandwiches
PROD000044,Dairy Products,Yogurt
PROD000045,Fast Food,Pizzas
PROD000046,Electric Appliances,Refrigerators
PROD000047,Sessional Fruits & Vegetables,Mangoes
PROD000048,Dairy Products,Butter
PROD000049,Electric Appliances,Washing Machines
PROD000050,Household Items,Detergents
PROD000051,Household Items,Utensils
PROD000052,Household Items,Buckets
PROD000053,Dairy Products,Yogurt
PROD000054,Sessional Fruits & Vegetables,Mangoes
PROD000055,Household Items,Buckets
PROD000056,Electric Appliances,Washing Machines
PROD000057,Dairy Products,Cheese
PROD000058,Electric Appliances,Washing Machines
PROD000059,Dairy Products,Cheese
PROD000060,Dairy Products,Milk
PROD000061,Furniture,Tables
PROD000062,Dairy Products,Yogurt
PROD000063,Sessional Fruits & Vegetables,Mangoes
PROD000064,Electric Appliances,Microwaves
PROD000065,Furniture,Sofas
PROD000066,Household Items,Utensils
PROD000067,Electric Appliances,Fans
PROD000068,Electric Appliances,Fans
PROD000069,Dairy Products,Cheese
PROD000070,Dairy Products,Milk
PROD000071,Fast Food,Fries
PROD000072,Sessional Fruits & Vegetables,Tomatoes
PROD000073,Fast Food,Pizzas
PROD000074,Electric Appliances,Fans
PROD000075,Fast Food,Fries
PROD000076,Electric Appliances,Fans
PROD000077,Dairy Products,Butter
PROD000078,Fast Food,Pizzas
PROD000079,Dairy Products,Cheese
PROD000080,Furniture,Tables
PROD000081,Dairy Products,Yogurt
PROD000082,Electric Appliances,Microwaves
PROD000083,Fast Food,Burgers
PROD000084,Electric Appliances,Refrigerators
PROD000085,Household Items,Utensils
PROD000086,Dairy Products,Yogurt
PROD000087,Dairy Products,Yogurt
PROD000088,Sessional Fruits & Vegetables,Tomatoes
PROD000089,Electric Appliances,Refrigerators
PROD000090,Fast Food,Sandwiches
PROD000091,Sessional Fruits & Vegetables,Tomatoes
PROD000092,Furniture,Sofas
PROD000093,Household Items,Detergents
PROD000094,Furniture,Sofas
PROD000095,Household Items,Detergents
PROD000096,Fast Food,Burgers
PROD000097,Dairy Products,Butter
PROD000098,Furniture,Chairs
PROD000099,Sessional Fruits & Vegetables,Mangoes
PROD000100,Furniture,Sofas
PROD000101,Furniture,Tables
PROD000102,Furniture,Chairs
PROD000103,Sessional Fruits & Vegetables,Mangoes
PROD000104,Fast Food,Pizzas
PROD000105,Household Items,Utensils
PROD000106,Dairy Products,Milk
PROD000107,Dairy Products,Milk
PROD000108,Electric Appliances,Washing Machines
PROD000109,Fast Food,Sandwiches
PROD000110,Electric Appliances,Fans
PROD000111,Sessional Fruits & Vegetables,Tomatoes
PROD000112,Furniture,Beds
PROD000113,Dairy Products,Cheese
PROD000114,Furniture,Tables
PROD000115,Electric Appliances,Microwaves
PROD000116,Sessional Fruits & Vegetables,Mangoes
PROD000117,Dairy Products,Milk
PROD000118,Dairy Products,Cheese
PROD000119,Household Items,Detergents
PROD000120,Electric Appliances,Washing Machines
PROD000121,Dairy Products,Milk
PROD000122,Dairy Products,Milk
PROD000123,Dairy Products,Butter
PROD000124,Furniture,Sofas
PROD000125,Dairy Products,Yogurt
PROD000126,Sessional Fruits & Vegetables,Apples
PROD000127,Household Items,Mops
PROD000128,Fast Food,Sandwiches
PROD000129,Fast Food,Sandwiches
PROD000130,Household Items,Utensils
PROD000131,Household Items,Utensils
PROD000132,Household Items,Utensils
PROD000133,Electric Appliances,Refrigerators
PROD000134,Furniture,Beds
PROD000135,Sessional Fruits & Vegetables,Mangoes
PROD000136,Dairy Products,Milk
PROD000137,Household Items,Detergents
PROD000138,Fast Food,Sandwiches
PROD000139,Sessional Fruits & Vegetables,Apples
PROD000140,Dairy Products,Butter
PROD000141,Furniture,Tables
PROD000142,Dairy Products,Butter
PROD000143,Household Items,Mops
PROD000144,Furniture,Beds
PROD000145,Sessional Fruits & Vegetables,Tomatoes
PROD000146,Dairy Products,Cheese
PROD000147,Household Items,Buckets
PROD000148,Furniture,Chairs
PROD000149,Electric Appliances,Refrigerators
PROD000150,Dairy Products,Butter
PROD000151,Sessional Fruits & Vegetables,Mangoes
PROD000152,Electric Appliances,Fans
PROD000153,Electric Appliances,Microwaves
PROD000154,Furniture,Chairs
PROD000155,Household Items,Mops
PROD000156,Fast Food,Fries
PROD000157,Furniture,Sofas
PROD000158,Fast Food,Fries
PROD000159,Electric Appliances,Refrigerators
PROD000160,Dairy Products,Yogurt
PROD000161,Sessional Fruits & Vegetables,Tomatoes
PROD000162,Fast Food,Fries
PROD000163,Household Items,Buckets
PROD000164,Fast Food,Pizzas
PROD000165,Sessional Fruits & Vegetables,Carrots
PROD000166,Dairy Products,Butter
PROD000167,Sessional Fruits & Vegetables,Apples
PROD000168,Fast Food,Pizzas
PROD000169,Furniture,Tables
PROD000170,Dairy Products,Milk
PROD000171,Electric Appliances,Refrigerators
PROD000172,Dairy Products,Yogurt
PROD000173,Furniture,Tables
PROD000174,Household Items,Mops
PROD000175,Household Items,Buckets
PROD000176,Electric Appliances,Fans
PROD000177,Fast Food,Fries
PROD000178,Household Items,Utensils
PROD000179,Furniture,Chairs
PROD000180,Household Items,Mops
PROD000181,Sessional Fruits & Vegetables,Apples
PROD000182,Dairy Products,Butter
PROD000183,Dairy Products,Yogurt
PROD000184,Dairy Products,Butter
PROD000185,Electric Appliances,Fans
PROD000186,Household Items,Buckets
PROD000187,Electric Appliances,Refrigerators
PROD000188,Fast Food,Sandwiches
PROD000189,Fast Food,Sandwiches
PROD000190,Furniture,Beds
PROD000191,Fast Food,Burgers
PROD000192,Household Items,Buckets
PROD000193,Electric Appliances,Refrigerators
PROD000194,Furniture,Chairs
PROD000195,Dairy Products,Cheese
PROD000196,Dairy Products,Cheese
PROD000197,Dairy Products,Yogurt
PROD000198,Dairy Products,Cheese
PROD000199,Fast Food,Burgers
PROD000200,Dairy Products,Milk
PROD000201,Electric Appliances,Washing Machines
PROD000202,Fast Food,Fries
PROD000203,Fast Food,Burgers
PROD000204,Household Items,Mops
PROD000205,Household Items,Buckets
PROD000206,Sessional Fruits & Vegetables,Apples
PROD000207,Electric Appliances,Washing Machines
PROD000208,Sessional Fruits & Vegetables,Mangoes
PROD000209,Fast Food,Pizzas
PROD000210,Household Items,Buckets
PROD000211,Dairy Products,Cheese
PROD000212,Fast Food,Sandwiches
PROD000213,Sessional Fruits & Vegetables,Mangoes
PROD000214,Sessional Fruits & Vegetables,Apples
PROD000215,Household Items,Utensils
PROD000216,Dairy Products,Milk
PROD000217,Fast Food,Fries
PROD000218,Fast Food,Fries
PROD000219,Electric Appliances,Fans
PROD000220,Furniture,Sofas
PROD000221,Household Items,Buckets
PROD000222,Furniture,Chairs
PROD000223,Electric Appliances,Washing Machines
PROD000224,Electric Appliances,Washing Machines
PROD000225,Sessional Fruits & Vegetables,Apples
PROD000226,Dairy Products,Yogurt
PROD000227,Sessional Fruits & Vegetables,Carrots
PROD000228,Electric Appliances,Refrigerators
PROD000229,Electric Appliances,Refrigerators
PROD000230,Electric Appliances,Microwaves
PROD000231,Furniture,Tables
PROD000232,Dairy Products,Yogurt
PROD000233,Fast Food,Fries
PROD000234,Dairy Products,Milk
PROD000235,Furniture,Beds
PROD000236,Household Items,Detergents
PROD000237,Electric Appliances,Fans
PROD000238,Sessional Fruits & Vegetables,Carrots
PROD000239,Fast Food,Fries
PROD000240,Electric Appliances,Fans
PROD000241,Household Items,Buckets
PROD000242,Dairy Products,Yogurt
PROD000243,Dairy Products,Cheese
PROD000244,Electric Appliances,Washing Machines
PROD000245,Dairy Products,Yogurt
PROD000246,Furniture,Tables
PROD000247,Electric Appliances,Washing Machines
PROD000248,Sessional Fruits & Vegetables,Apples
PROD000249,Sessional Fruits & Vegetables,Mangoes
PROD000250,Fast Food,Burgers
PROD000251,Fast Food,Pizzas
PROD000252,Furniture,Chairs
PROD000253,Fast Food,Fries
PROD000254,Furniture,Chairs
PROD000255,Dairy Products,Yogurt
PROD000256,Fast Food,Sandwiches
PROD000257,Electric Appliances,Microwaves
PROD000258,Electric Appliances,Refrigerators
PROD000259,Fast Food,Sandwiches
PROD000260,Sessional Fruits & Vegetables,Apples
PROD000261,Fast Food,Sandwiches
PROD000262,Furniture,Beds
PROD000263,Fast Food,Fries
PROD000264,Sessional Fruits & Vegetables,Apples
PROD000265,Electric Appliances,Refrigerators
PROD000266,Electric Appliances,Washing Machines
PROD000267,Household Items,Detergents
PROD000268,Household Items,Mops
PROD000269,Dairy Products,Cheese
PROD000270,Sessional Fruits & Vegetables,Tomatoes
PROD000271,Electric Appliances,Fans
PROD000272,Furniture,Tables
PROD000273,Furniture,Sofas
PROD000274,Fast Food,Pizzas
PROD000275,Sessional Fruits & Vegetables,Mangoes
PROD000276,Fast Food,Burgers
PROD000277,Sessional Fruits & Vegetables,Apples
PROD000278,Electric Appliances,Washing Machines
PROD000279,Fast Food,Pizzas
PROD000280,Furniture,Chairs
PROD000281,Sessional Fruits & Vegetables,Carrots
PROD000282,Sessional Fruits & Vegetables,Tomatoes
PROD000283,Dairy Products,Butter
PROD000284,Furniture,Beds
PROD000285,Household Items,Mops
PROD000286,Household Items,Utensils
PROD000287,Fast Food,Sandwiches
PROD000288,Household Items,Utensils
PROD000289,Fast Food,Sandwiches
PROD000290,Sessional Fruits & Vegetables,Mangoes
PROD000291,Electric Appliances,Washing Machines
PROD000292,Sessional Fruits & Vegetables,Mangoes
PROD000293,Electric Appliances,Washing Machines
PROD000294,Sessional Fruits & Vegetables,Mangoes
PROD000295,Electric Appliances,Fans
PROD000296,Electric Appliances,Fans
PROD000297,Household Items,Mops
PROD000298,Sessional Fruits & Vegetables,Apples
PROD000299,Household Items,Buckets
PROD000300,Electric Appliances,Microwaves
PROD000301,Fast Food,Burgers
PROD000302,Sessional Fruits & Vegetables,Carrots
PROD000303,Dairy Products,Yogurt
PROD000304,Furniture,Beds
PROD000305,Furniture,Tables
PROD000306,Sessional Fruits & Vegetables,Apples
PROD000307,Sessional Fruits & Vegetables,Carrots
PROD000308,Furniture,Sofas
PROD000309,Fast Food,Burgers
PROD000310,Household Items,Utensils
PROD000311,Dairy Products,Butter
PROD000312,Dairy Products,Butter
PROD000313,Electric Appliances,Refrigerators
PROD000314,Sessional Fruits & Vegetables,Tomatoes
PROD000315,Dairy Products,Cheese
PROD000316,Sessional Fruits & Vegetables,Apples
PROD000317,Fast Food,Pizzas
PROD000318,Electric Appliances,Microwaves
PROD000319,Furniture,Tables
PROD000320,Household Items,Mops
PROD000321,Fast Food,Sandwiches
PROD000322,Fast Food,Pizzas
PROD000323,Furniture,Sofas
PROD000324,Dairy Products,Butter
PROD000325,Electric Appliances,Washing Machines
PROD000326,Sessional Fruits & Vegetables,Carrots
PROD000327,Household Items,Detergents
PROD000328,Sessional Fruits & Vegetables,Carrots
PROD000329,Household Items,Mops
PROD000330,Fast Food,Sandwiches
PROD000331,Fast Food,Sandwiches
PROD000332,Furniture,Tables
PROD000333,Furniture,Sofas
PROD000334,Sessional Fruits & Vegetables,Apples
PROD000335,Electric Appliances,Fans
PROD000336,Fast Food,Burgers
PROD000337,Sessional Fruits & Vegetables,Carrots
PROD000338,Household Items,Mops
PROD000339,Fast Food,Pizzas
PROD000340,Household Items,Buckets
