Order ID,Product ID,Location Id,Order Date,Quantity,Sales,Discount,Profit
ORD000001,PROD000001,103,13-04-2020,3,3344.69,0.09,448.24
ORD000002,PROD000002,105,08-01-2021,5,37094.41,0.39,3134.34
ORD000003,PROD000003,118,11-08-2020,6,35501.08,0.07,8324.21
ORD000004,PROD000004,108,10-10-2021,4,8969.33,0.18,1962.66
ORD000005,PROD000005,125,22-01-2019,4,35530.44,0.27,2843.93
ORD000006,PROD000006,115,18-12-2019,4,420.76,0.5,57.36
ORD000007,PROD000007,132,21-12-2020,6,31588.07,0.38,2834.07
ORD000008,PROD000008,122,12-11-2021,10,4419.87,0.21,691.42
ORD000009,PROD000009,115,09-03-2021,2,41494.09,0.09,8083.35
ORD000010,PROD000010,111,15-03-2022,3,39717.64,0.27,4849.97
ORD000011,PROD000011,126,21-03-2021,2,42842.38,0.15,6385.44
ORD000012,PROD000012,134,19-07-2021,10,1036.8,0.32,157.6
ORD000013,PROD000013,125,30-07-2022,7,39274.36,0.3,6536.93
ORD000014,PROD000014,122,09-02-2019,5,31690.81,0.1,3772.86
ORD000015,PROD000015,127,09-05-2023,9,40712.36,0.26,6108.43
ORD000016,PROD000016,134,11-11-2022,1,34269.7,0.35,4144.5
ORD000017,PROD000017,112,28-02-2023,8,41271.24,0.4,5106.34
ORD000018,PROD000018,128,03-03-2022,6,3896.21,0.23,868.88
ORD000019,PROD000019,128,01-01-2020,2,15902.47,0.24,2192.64
ORD000020,PROD000020,128,17-06-2019,8,14846.9,0.27,2578.04
ORD000021,PROD000021,106,26-08-2020,6,756.96,0.5,61.95
ORD000022,PROD000022,129,04-11-2019,1,9172.02,0.07,2279.66
ORD000023,PROD000023,114,03-12-2023,3,34292.47,0.03,9599.41
ORD000024,PROD000024,108,15-04-2021,5,35973.08,0.47,5195.63
ORD000025,PROD000025,133,07-02-2023,6,44383.63,0.43,3482.54
ORD000026,PROD000026,106,27-04-2019,3,4404.37,0.47,397.14
ORD000027,PROD000027,108,20-12-2021,9,34934.14,0.46,4657.61
ORD000028,PROD000028,129,06-04-2019,5,2361.71,0.38,373.96
ORD000029,PROD000029,113,20-02-2022,9,24468.77,0.3,3914.79
ORD000030,PROD000030,134,20-05-2019,2,16716.48,0.39,1748.93
ORD000031,PROD000031,114,05-03-2019,3,6167.65,0.29,583.15
ORD000032,PROD000032,112,25-05-2023,2,44969.55,0.11,9788.65
ORD000033,PROD000033,117,10-12-2023,2,38388.24,0.14,3832.45
ORD000034,PROD000034,120,28-07-2023,8,4999.82,0.36,867.85
ORD000035,PROD000035,124,27-01-2023,7,32193.01,0.08,4603.52
ORD000036,PROD000036,134,02-09-2023,8,33453.57,0.43,5456.87
ORD000037,PROD000037,112,09-12-2019,5,41830.92,0.22,5209.41
ORD000038,PROD000038,117,20-12-2021,3,31602.21,0.49,2620.14
ORD000039,PROD000039,129,25-02-2021,3,7903.34,0.06,1187.42
ORD000040,PROD000040,118,23-09-2021,2,23667.32,0.07,3631.17
ORD000041,PROD000041,133,09-02-2023,10,39762.15,0.03,6437.84
ORD000042,PROD000042,129,21-03-2019,7,10843.03,0.08,2550.74
ORD000043,PROD000043,110,15-07-2022,8,35014.14,0.19,6929.86
ORD000044,PROD000044,132,21-10-2021,3,49912.22,0,7076.5
ORD000045,PROD000045,104,25-11-2021,6,11595.62,0.02,1819.63
ORD000046,PROD000046,135,16-08-2023,7,40938.72,0.32,4902.81
ORD000047,PROD000047,122,25-11-2019,10,43356.81,0.14,6415
ORD000048,PROD000048,107,12-02-2020,1,37449.42,0.4,5330.17
ORD000049,PROD000049,136,07-07-2021,6,378.65,0.44,30.32
ORD000050,PROD000050,125,20-01-2020,1,4596.06,0.09,566.91
ORD000051,PROD000051,103,20-05-2020,9,15945.03,0.41,2139.78
ORD000052,PROD000052,107,14-02-2020,5,45056.72,0.25,4495.91
ORD000053,PROD000053,104,13-03-2019,8,14187.47,0.17,3102.02
ORD000054,PROD000054,124,20-06-2023,9,3119.4,0.1,399.27
ORD000055,PROD000055,121,07-10-2020,1,5552.12,0.17,601.64
ORD000056,PROD000056,107,22-03-2022,3,46089.88,0.32,3186.9
ORD000057,PROD000057,114,09-11-2021,3,41202.61,0.38,3039.9
ORD000058,PROD000058,107,26-06-2019,4,35606.55,0.42,3162.47
ORD000059,PROD000059,136,04-05-2021,7,25717.31,0.08,4469.55
ORD000060,PROD000060,132,06-08-2020,2,18052.48,0.35,1386.25
ORD000061,PROD000061,130,01-08-2019,1,24074.86,0.14,4149.35
ORD000062,PROD000062,103,12-05-2020,10,17103.72,0.35,1522.18
ORD000063,PROD000063,112,15-07-2023,2,33223,0.47,4928.08
ORD000064,PROD000064,118,09-06-2020,3,5549.65,0.29,563.06
ORD000065,PROD000065,126,19-04-2022,7,1941.21,0.24,303.42
ORD000066,PROD000066,133,22-07-2020,10,5961.75,0.47,403.06
ORD000067,PROD000067,127,05-01-2019,3,15033.44,0.15,2058.14
ORD000068,PROD000068,108,07-09-2021,5,21552.93,0.37,1492.29
ORD000069,PROD000069,132,01-05-2023,7,4878.15,0.31,468.53
ORD000070,PROD000070,105,07-06-2022,10,46801.69,0.45,6319.46
ORD000071,PROD000071,134,06-08-2023,1,22971.7,0.29,3182.37
ORD000072,PROD000072,120,21-05-2021,10,49342.22,0.29,7270.12
ORD000073,PROD000073,115,12-01-2022,4,4357.85,0.38,299.28
ORD000074,PROD000074,119,20-11-2023,1,37866.05,0.07,9406.68
ORD000075,PROD000075,115,24-09-2022,6,10613.65,0.04,2632.64
ORD000076,PROD000076,119,14-12-2021,6,34132.43,0.04,8067.39
ORD000077,PROD000077,126,09-01-2023,8,32935.9,0.38,5988.54
ORD000078,PROD000078,122,11-12-2021,9,22501.5,0.49,2189.44
ORD000079,PROD000079,121,17-06-2019,10,4064.52,0.31,369.06
ORD000080,PROD000080,131,21-06-2020,3,19218.16,0.22,2588.25
